Date,Time,"CPU (Tctl/Tdie) [°C]","CPU 패키지 전력 소비 [W]","CPU PPT [W]","CPU [°C]","CPU [RPM]",
02.11.2025,9:0:41.753,42.2,30.890,30.970,42.0,2209,
02.11.2025,9:0:43.758,42.2,30.890,30.970,45.0,2201,
02.11.2025,9:0:45.758,55.9,75.995,75.998,55.0,2230,
02.11.2025,9:0:47.761,57.6,75.984,76.000,57.0,2226,
02.11.2025,9:0:49.749,58.4,75.978,76.000,58.0,2238,
02.11.2025,9:0:51.753,58.9,75.979,75.999,58.0,2209,
02.11.2025,9:0:53.755,59.1,76.025,76.000,59.0,2214,
02.11.2025,9:0:55.758,59.4,75.979,76.001,59.0,2201,
02.11.2025,9:0:57.761,59.5,75.993,76.001,59.0,2234,
02.11.2025,9:0:59.749,59.6,76.003,76.000,59.0,2222,
02.11.2025,9:1:1.751,59.9,75.972,75.999,59.0,2234,
02.11.2025,9:1:3.755,60.0,76.000,76.000,60.0,2214,
02.11.2025,9:1:5.757,60.1,76.010,76.000,60.0,2209,
02.11.2025,9:1:7.761,60.4,75.968,76.001,60.0,2226,
02.11.2025,9:1:9.749,60.5,75.989,76.000,60.0,2234,
02.11.2025,9:1:11.752,60.6,76.003,76.000,60.0,2234,
02.11.2025,9:1:13.755,60.6,76.007,76.001,60.0,2214,
02.11.2025,9:1:15.759,60.8,75.983,75.999,60.0,2209,
02.11.2025,9:1:17.761,60.9,75.990,76.000,60.0,2209,
02.11.2025,9:1:19.748,61.0,75.990,76.000,60.0,2238,
02.11.2025,9:1:21.750,61.0,75.988,76.000,61.0,2209,
02.11.2025,9:1:23.753,61.1,75.982,76.001,61.0,2226,
02.11.2025,9:1:25.757,61.1,76.011,76.000,61.0,2209,
02.11.2025,9:1:27.761,61.2,75.977,75.999,61.0,2226,
02.11.2025,9:1:29.748,61.2,76.004,75.999,61.0,2230,
02.11.2025,9:1:31.751,61.4,75.982,76.001,61.0,2214,
02.11.2025,9:1:33.754,61.4,75.975,76.000,61.0,2234,
02.11.2025,9:1:35.758,61.5,75.989,76.001,61.0,2234,
02.11.2025,9:1:37.761,61.5,76.018,76.001,61.0,2193,
02.11.2025,9:1:39.748,61.5,75.987,75.999,61.0,2201,
02.11.2025,9:1:41.752,61.6,76.004,75.999,61.0,2209,
02.11.2025,9:1:43.756,61.6,75.986,76.001,61.0,2230,
02.11.2025,9:1:45.760,61.8,75.983,76.000,61.0,2242,
02.11.2025,9:1:47.747,61.8,75.972,76.001,61.0,2201,
02.11.2025,9:1:49.752,61.8,75.992,75.999,61.0,2234,
02.11.2025,9:1:51.756,61.8,76.025,76.001,61.0,2238,
02.11.2025,9:1:53.759,61.9,75.959,76.000,61.0,2205,
02.11.2025,9:1:55.747,61.9,75.996,76.000,61.0,2230,
02.11.2025,9:1:57.751,61.9,76.003,76.000,61.0,2209,
02.11.2025,9:1:59.752,61.9,75.975,75.999,61.0,2201,
02.11.2025,9:2:1.755,61.9,75.995,75.998,61.0,2242,
02.11.2025,9:2:3.759,62.0,76.012,76.002,61.0,2238,
02.11.2025,9:2:5.746,62.0,75.998,76.001,62.0,2226,
02.11.2025,9:2:7.750,62.0,75.958,76.000,62.0,2214,
02.11.2025,9:2:9.754,62.0,76.027,76.000,62.0,2201,
02.11.2025,9:2:11.758,62.0,75.986,76.001,62.0,2230,
02.11.2025,9:2:13.762,62.0,75.989,76.000,62.0,2251,
02.11.2025,9:2:15.765,62.0,75.999,76.000,62.0,2226,
02.11.2025,9:2:17.768,62.0,75.958,75.999,62.0,2214,
02.11.2025,9:2:19.771,62.0,75.991,76.000,62.0,2230,
02.11.2025,9:2:21.775,62.1,76.018,76.001,62.0,2201,
02.11.2025,9:2:23.762,62.1,76.018,76.001,62.0,2230,
02.11.2025,9:2:25.766,62.1,75.997,76.000,62.0,2209,
02.11.2025,9:2:27.770,62.1,75.956,75.999,62.0,2214,
02.11.2025,9:2:29.773,62.1,75.956,75.999,62.0,2209,
02.11.2025,9:2:31.777,62.1,75.988,76.000,62.0,2209,
02.11.2025,9:2:33.764,62.1,75.988,76.000,62.0,2230,
02.11.2025,9:2:35.768,62.1,75.966,76.000,62.0,2234,
02.11.2025,9:2:37.772,62.1,75.994,75.999,62.0,2201,
02.11.2025,9:2:39.777,62.1,76.014,76.000,62.0,2238,
02.11.2025,9:2:41.778,59.8,46.284,45.866,60.0,2209,
02.11.2025,9:2:43.784,56.0,27.218,27.208,57.0,2234,
02.11.2025,9:2:45.791,52.9,27.038,27.057,53.0,2230,
02.11.2025,9:2:47.782,50.2,26.895,26.880,51.0,2234,
02.11.2025,9:2:49.791,48.1,26.889,26.948,48.0,2201,
02.11.2025,9:2:51.782,46.4,26.912,26.897,46.0,2230,
02.11.2025,9:2:53.790,45.0,27.033,27.036,45.0,2234,
02.11.2025,9:2:55.781,44.0,26.815,26.820,44.0,2214,
02.11.2025,9:2:57.789,43.1,26.766,26.765,43.0,2230,
02.11.2025,9:2:59.780,42.5,27.013,27.036,42.0,2218,
02.11.2025,9:3:1.787,42.1,27.098,27.092,42.0,2242,
