Date,Time,"CPU (Tctl/Tdie) [°C]","CPU 패키지 전력 소비 [W]","CPU PPT [W]","CPU [°C]",
02.11.2025,8:23:9.237,45.0,31.352,31.387,44.0,
02.11.2025,8:23:11.240,53.2,54.494,54.905,55.0,
02.11.2025,8:23:13.248,57.1,76.002,75.999,58.0,
02.11.2025,8:23:15.246,58.8,75.997,75.999,59.0,
02.11.2025,8:23:17.251,59.5,76.003,76.000,59.0,
02.11.2025,8:23:19.258,59.9,75.961,75.999,60.0,
02.11.2025,8:23:21.247,60.1,75.992,76.001,60.0,
02.11.2025,8:23:23.252,60.4,75.994,76.000,60.0,
02.11.2025,8:23:25.258,60.6,76.002,76.000,60.0,
02.11.2025,8:23:27.247,60.9,75.988,76.001,60.0,
02.11.2025,8:23:29.254,61.0,75.988,76.000,61.0,
02.11.2025,8:23:31.260,61.1,76.020,75.999,61.0,
02.11.2025,8:23:33.249,61.4,75.993,76.002,61.0,
02.11.2025,8:23:35.254,61.5,75.984,76.000,61.0,
02.11.2025,8:23:37.261,61.6,75.980,76.001,61.0,
02.11.2025,8:23:39.267,61.9,75.979,75.999,61.0,
02.11.2025,8:23:41.274,62.0,76.022,76.001,62.0,
02.11.2025,8:23:43.262,62.1,75.991,75.999,62.0,
02.11.2025,8:23:45.267,62.2,75.996,76.001,62.0,
02.11.2025,8:23:47.275,62.2,75.975,76.000,62.0,
02.11.2025,8:23:49.263,62.4,75.977,76.001,62.0,
02.11.2025,8:23:51.269,62.4,76.022,75.999,62.0,
02.11.2025,8:23:53.273,62.5,75.970,75.999,62.0,
02.11.2025,8:23:55.261,62.6,75.987,76.001,62.0,
02.11.2025,8:23:57.268,62.8,76.011,76.000,62.0,
02.11.2025,8:23:59.273,62.9,75.966,76.001,62.0,
02.11.2025,8:24:1.278,62.9,75.991,75.999,63.0,
02.11.2025,8:24:3.291,63.0,76.019,76.001,63.0,
02.11.2025,8:24:5.289,63.1,75.993,76.000,63.0,
02.11.2025,8:24:7.280,63.1,75.990,75.998,63.0,
02.11.2025,8:24:9.285,63.2,75.969,76.001,63.0,
02.11.2025,8:24:11.290,63.4,75.999,76.001,63.0,
02.11.2025,8:24:13.279,63.5,76.005,75.999,63.0,
02.11.2025,8:24:15.285,63.5,75.993,76.001,63.0,
02.11.2025,8:24:17.290,63.6,75.994,75.999,63.0,
02.11.2025,8:24:19.279,63.8,75.990,76.000,63.0,
02.11.2025,8:24:21.284,63.8,75.985,76.001,63.0,
02.11.2025,8:24:23.289,63.9,75.978,75.997,63.0,
02.11.2025,8:24:25.279,64.0,76.020,76.004,64.0,
02.11.2025,8:24:27.285,64.0,75.992,76.000,64.0,
02.11.2025,8:24:29.290,64.1,75.984,76.000,64.0,
02.11.2025,8:24:31.278,64.1,75.996,76.001,64.0,
02.11.2025,8:24:33.283,64.2,75.994,76.000,64.0,
02.11.2025,8:24:35.289,64.2,75.961,75.999,64.0,
02.11.2025,8:24:37.278,64.4,76.020,76.001,64.0,
02.11.2025,8:24:39.292,64.4,75.969,75.999,64.0,
02.11.2025,8:24:41.290,64.5,76.005,75.999,64.0,
02.11.2025,8:24:43.279,64.5,75.990,76.002,64.0,
02.11.2025,8:24:45.284,64.6,75.989,76.000,64.0,
02.11.2025,8:24:47.290,64.6,75.994,76.000,64.0,
02.11.2025,8:24:49.279,64.8,76.005,75.999,64.0,
02.11.2025,8:24:51.284,64.8,75.969,76.000,64.0,
02.11.2025,8:24:53.291,64.8,75.999,76.001,64.0,
02.11.2025,8:24:55.282,64.8,76.012,76.000,64.0,
02.11.2025,8:24:57.289,64.9,75.972,75.998,64.0,
02.11.2025,8:24:59.278,64.9,76.010,76.002,64.0,
02.11.2025,8:25:1.284,64.9,75.976,76.000,64.0,
02.11.2025,8:25:3.290,64.9,76.003,76.000,65.0,
02.11.2025,8:25:5.292,65.0,75.986,76.000,64.0,
02.11.2025,8:25:7.304,63.2,53.905,53.492,61.0,
02.11.2025,8:25:9.297,59.8,31.649,31.666,58.0,
02.11.2025,8:25:11.297,57.2,35.023,35.017,55.0,
02.11.2025,8:25:13.303,54.6,28.843,28.865,53.0,
02.11.2025,8:25:15.292,52.4,27.487,27.474,51.0,
02.11.2025,8:25:17.297,50.6,27.113,27.150,49.0,
02.11.2025,8:25:19.305,49.2,27.737,27.751,48.0,
02.11.2025,8:25:21.295,48.2,27.906,27.930,47.0,
02.11.2025,8:25:23.300,47.2,27.443,27.422,53.0,
02.11.2025,8:25:25.307,55.8,43.290,43.323,54.0,
02.11.2025,8:25:27.297,53.8,30.890,30.875,54.0,
02.11.2025,8:25:29.305,53.2,35.393,35.417,52.0,
02.11.2025,8:25:31.295,52.8,32.261,32.472,56.0,
02.11.2025,8:25:33.306,55.2,42.479,42.253,53.0,
02.11.2025,8:25:35.298,53.5,32.293,32.405,54.0,
02.11.2025,8:25:37.299,53.9,38.502,38.521,53.0,
02.11.2025,8:25:39.298,52.8,36.331,36.282,52.0,
02.11.2025,8:25:41.307,51.2,32.179,32.119,50.0,
02.11.2025,8:25:43.316,49.4,27.437,27.459,48.0,
02.11.2025,8:25:45.323,47.8,26.990,26.993,46.0,
02.11.2025,8:25:47.329,46.6,27.339,27.349,46.0,
02.11.2025,8:25:49.337,45.9,27.439,27.449,45.0,
02.11.2025,8:25:51.329,46.2,28.296,28.502,48.0,
02.11.2025,8:25:53.339,48.1,34.514,34.337,47.0,
02.11.2025,8:25:55.329,46.9,27.382,27.389,46.0,
02.11.2025,8:25:57.337,46.0,26.907,26.948,45.0,
02.11.2025,8:25:59.339,45.1,26.564,26.536,44.0,
02.11.2025,8:26:1.344,44.6,28.711,28.738,44.0,
02.11.2025,8:26:3.351,44.2,27.484,27.485,44.0,
02.11.2025,8:26:5.341,44.6,29.432,29.422,44.0,
02.11.2025,8:26:7.347,44.4,28.043,28.058,44.0,
