Date,Time,"CPU (Tctl/Tdie) [°C]","CPU 패키지 전력 소비 [W]","CPU PPT [W]","CPU [°C]",
02.11.2025,8:44:30.949,43.0,29.628,29.636,43.0,
02.11.2025,8:44:32.941,43.2,33.604,33.645,43.0,
02.11.2025,8:44:34.950,54.1,62.415,62.812,47.0,
02.11.2025,8:44:36.939,57.0,76.007,76.001,55.0,
02.11.2025,8:44:38.950,58.0,75.997,75.999,57.0,
02.11.2025,8:44:40.945,58.5,75.964,76.000,58.0,
02.11.2025,8:44:42.948,58.8,76.019,76.000,58.0,
02.11.2025,8:44:44.935,59.0,75.979,76.000,58.0,
02.11.2025,8:44:46.937,59.1,75.977,76.000,59.0,
02.11.2025,8:44:48.941,59.4,76.019,76.000,59.0,
02.11.2025,8:44:50.945,59.5,75.980,76.001,59.0,
02.11.2025,8:44:52.948,59.8,75.986,76.000,59.0,
02.11.2025,8:44:54.938,60.6,75.997,76.000,60.0,
02.11.2025,8:44:56.943,60.5,75.988,76.000,60.0,
02.11.2025,8:44:58.946,60.5,76.009,75.998,60.0,
02.11.2025,8:45:0.949,60.5,75.987,76.001,60.0,
02.11.2025,8:45:2.954,60.5,76.003,76.000,60.0,
02.11.2025,8:45:4.958,60.6,75.981,75.999,60.0,
02.11.2025,8:45:6.961,60.8,76.005,76.000,60.0,
02.11.2025,8:45:8.966,60.8,75.978,76.000,60.0,
02.11.2025,8:45:10.971,60.9,76.005,76.001,60.0,
02.11.2025,8:45:12.977,61.0,75.963,76.000,60.0,
02.11.2025,8:45:14.965,61.0,76.018,76.000,61.0,
02.11.2025,8:45:16.968,61.1,75.965,76.000,61.0,
02.11.2025,8:45:18.971,61.1,76.016,76.000,61.0,
02.11.2025,8:45:20.975,61.2,75.983,76.000,61.0,
02.11.2025,8:45:22.979,61.2,75.988,76.000,61.0,
02.11.2025,8:45:24.965,61.4,75.992,76.000,61.0,
02.11.2025,8:45:26.968,61.4,75.993,75.999,61.0,
02.11.2025,8:45:28.972,61.5,76.008,76.000,61.0,
02.11.2025,8:45:30.975,61.6,75.975,76.000,61.0,
02.11.2025,8:45:32.978,61.6,75.994,76.001,61.0,
02.11.2025,8:45:34.967,61.8,75.975,75.999,61.0,
02.11.2025,8:45:36.970,61.8,76.016,76.000,61.0,
02.11.2025,8:45:38.973,61.8,75.974,76.000,61.0,
02.11.2025,8:45:40.975,61.8,76.000,76.001,61.0,
02.11.2025,8:45:42.978,61.9,75.975,75.999,61.0,
02.11.2025,8:45:44.967,61.9,76.000,76.000,61.0,
02.11.2025,8:45:46.971,61.9,75.995,76.000,61.0,
02.11.2025,8:45:48.974,61.9,76.004,76.000,61.0,
02.11.2025,8:45:50.977,62.0,75.974,75.999,62.0,
02.11.2025,8:45:52.981,62.0,75.994,76.000,62.0,
02.11.2025,8:45:54.984,62.0,76.016,76.001,62.0,
02.11.2025,8:45:56.987,62.0,75.975,76.000,62.0,
02.11.2025,8:45:58.989,62.0,75.978,76.001,62.0,
02.11.2025,8:46:0.992,62.0,76.021,76.000,62.0,
02.11.2025,8:46:2.994,62.1,75.973,75.999,62.0,
02.11.2025,8:46:4.998,62.1,76.008,76.000,62.0,
02.11.2025,8:46:7.000,62.1,75.971,76.001,62.0,
02.11.2025,8:46:9.003,62.1,75.992,76.000,62.0,
02.11.2025,8:46:11.006,62.1,75.979,76.000,62.0,
02.11.2025,8:46:13.009,62.1,76.023,76.000,62.0,
02.11.2025,8:46:14.996,62.1,75.990,76.000,62.0,
02.11.2025,8:46:16.998,62.1,75.992,76.000,62.0,
02.11.2025,8:46:19.001,62.1,75.988,76.000,62.0,
02.11.2025,8:46:21.004,62.1,75.986,76.001,62.0,
02.11.2025,8:46:23.007,62.1,75.996,76.000,62.0,
02.11.2025,8:46:25.009,62.1,75.980,76.001,62.0,
02.11.2025,8:46:27.012,62.1,76.009,75.999,62.0,
